[11-Sep-2017 01:39:57 Asia/Tokyo] PHP Parse error:  syntax error, unexpected 'protected' (T_PROTECTED) in /home/ubuntu/workspace/microposts/app/Http/Controllers/Auth/AuthController.php on line 11
[15-Oct-2017 00:18:58 Asia/Tokyo] PHP  28. Illuminate\Routing\Router->dispatch() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:236
[15-Oct-2017 00:18:58 Asia/Tokyo] PHP  29. Illuminate\Routing\Router->dispatchToRoute() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Routing/Router.php:635
[15-Oct-2017 00:18:58 Asia/Tokyo] PHP  30. Illuminate\Routing\Router->runRouteWithinStack() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Routing/Router.php:675
[15-Oct-2017 00:18:58 Asia/Tokyo] PHP  31. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Routing/Router.php:710
[15-Oct-2017 00:18:58 Asia/Tokyo] PHP  32. call_user_func:{/home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[15-Oct-2017 00:18:58 Asia/Tokyo] PHP  33. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[15-Oct-2017 00:18:58 Asia/Tokyo] PHP  34. call_user_func_array:{/home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[15-Oct-2017 00:18:58 Asia/Tokyo] PHP  35. App\Http\Middleware\Authenticate->handle() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[15-Oct-2017 00:18:58 Asia/Tokyo] PHP  36. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/microposts_7/app/Http/Middleware/Authenticate.php:45
[15-Oct-2017 00:18:58 Asia/Tokyo] PHP  37. call_user_func:{/home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[15-Oct-2017 00:18:58 Asia/Tokyo] PHP  38. Illuminate\Routing\Router->Illuminate\Routing\{closure}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[15-Oct-2017 00:18:58 Asia/Tokyo] PHP  39. Illuminate\Routing\Route->run() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Routing/Router.php:708
[15-Oct-2017 00:18:58 Asia/Tokyo] PHP  40. Illuminate\Routing\Route->runWithCustomDispatcher() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Routing/Route.php:134
[15-Oct-2017 00:18:58 Asia/Tokyo] PHP  41. Illuminate\Routing\ControllerDispatcher->dispatch() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Routing/Route.php:203
[15-Oct-2017 00:18:58 Asia/Tokyo] PHP  42. Illuminate\Routing\ControllerDispatcher->callWithinStack() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:69
[15-Oct-2017 00:18:58 Asia/Tokyo] PHP  43. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:114
[15-Oct-2017 00:18:58 Asia/Tokyo] PHP  44. call_user_func:{/home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[15-Oct-2017 00:18:58 Asia/Tokyo] PHP  45. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[15-Oct-2017 00:18:58 Asia/Tokyo] PHP  46. call_user_func:{/home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[15-Oct-2017 00:18:58 Asia/Tokyo] PHP  47. Illuminate\Routing\ControllerDispatcher->Illuminate\Routing\{closure}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[15-Oct-2017 00:18:58 Asia/Tokyo] PHP  48. Illuminate\Routing\ControllerDispatcher->call() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:112
[15-Oct-2017 00:18:58 Asia/Tokyo] PHP  49. Illuminate\Routing\Controller->callAction() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:164
[15-Oct-2017 00:18:58 Asia/Tokyo] PHP  50. call_user_func_array:{/home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:256}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:256
[15-Oct-2017 00:18:58 Asia/Tokyo] PHP  51. App\Http\Controllers\UsersController->oki_followings() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:256
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP Fatal error:  Call to a member function oki_followings() on a non-object in /home/ubuntu/workspace/microposts_7/app/Http/Controllers/UsersController.php on line 75
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP Stack trace:
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP   1. {main}() /home/ubuntu/workspace/microposts_7/server.php:0
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP   2. require_once() /home/ubuntu/workspace/microposts_7/server.php:21
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP   3. Illuminate\Foundation\Http\Kernel->handle() /home/ubuntu/workspace/microposts_7/public/index.php:54
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP   4. Illuminate\Foundation\Http\Kernel->sendRequestThroughRouter() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:87
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP   5. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:122
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP   6. call_user_func:{/home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP   7. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP   8. call_user_func_array:{/home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP   9. Illuminate\Foundation\Http\Middleware\CheckForMaintenanceMode->handle() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP  10. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/CheckForMaintenanceMode.php:44
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP  11. call_user_func_array:{/home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP  12. Illuminate\Cookie\Middleware\EncryptCookies->handle() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP  13. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/EncryptCookies.php:59
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP  14. call_user_func_array:{/home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP  15. Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse->handle() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP  16. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/AddQueuedCookiesToResponse.php:37
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP  17. call_user_func_array:{/home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP  18. Illuminate\Session\Middleware\StartSession->handle() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP  19. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Session/Middleware/StartSession.php:62
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP  20. call_user_func_array:{/home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP  21. Illuminate\View\Middleware\ShareErrorsFromSession->handle() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP  22. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/View/Middleware/ShareErrorsFromSession.php:49
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP  23. call_user_func_array:{/home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP  24. Illuminate\Foundation\Http\Middleware\VerifyCsrfToken->handle() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP  25. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/VerifyCsrfToken.php:50
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP  26. call_user_func:{/home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP  27. Illuminate\Foundation\Http\Kernel->Illuminate\Foundation\Http\{closure}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP  28. Illuminate\Routing\Router->dispatch() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:236
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP  29. Illuminate\Routing\Router->dispatchToRoute() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Routing/Router.php:635
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP  30. Illuminate\Routing\Router->runRouteWithinStack() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Routing/Router.php:675
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP  31. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Routing/Router.php:710
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP  32. call_user_func:{/home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP  33. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP  34. call_user_func_array:{/home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP  35. App\Http\Middleware\Authenticate->handle() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP  36. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/microposts_7/app/Http/Middleware/Authenticate.php:45
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP  37. call_user_func:{/home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP  38. Illuminate\Routing\Router->Illuminate\Routing\{closure}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP  39. Illuminate\Routing\Route->run() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Routing/Router.php:708
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP  40. Illuminate\Routing\Route->runWithCustomDispatcher() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Routing/Route.php:134
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP  41. Illuminate\Routing\ControllerDispatcher->dispatch() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Routing/Route.php:203
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP  42. Illuminate\Routing\ControllerDispatcher->callWithinStack() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:69
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP  43. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:114
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP  44. call_user_func:{/home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP  45. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP  46. call_user_func:{/home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP  47. Illuminate\Routing\ControllerDispatcher->Illuminate\Routing\{closure}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP  48. Illuminate\Routing\ControllerDispatcher->call() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:112
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP  49. Illuminate\Routing\Controller->callAction() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:164
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP  50. call_user_func_array:{/home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:256}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:256
[15-Oct-2017 00:19:18 Asia/Tokyo] PHP  51. App\Http\Controllers\UsersController->oki_followings() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:256
[15-Oct-2017 19:23:17 Asia/Tokyo] PHP Parse error:  syntax error, unexpected 'dd' (T_STRING) in /home/ubuntu/workspace/microposts_7/app/Http/Controllers/UsersController.php on line 82
[15-Oct-2017 19:23:17 Asia/Tokyo] PHP Stack trace:
[15-Oct-2017 19:23:17 Asia/Tokyo] PHP   1. {main}() /home/ubuntu/workspace/microposts_7/server.php:0
[15-Oct-2017 19:23:17 Asia/Tokyo] PHP   2. require_once() /home/ubuntu/workspace/microposts_7/server.php:21
[15-Oct-2017 19:23:17 Asia/Tokyo] PHP   3. Illuminate\Foundation\Http\Kernel->handle() /home/ubuntu/workspace/microposts_7/public/index.php:54
[15-Oct-2017 19:23:17 Asia/Tokyo] PHP   4. Illuminate\Foundation\Http\Kernel->sendRequestThroughRouter() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:87
[15-Oct-2017 19:23:17 Asia/Tokyo] PHP   5. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:122
[15-Oct-2017 19:23:17 Asia/Tokyo] PHP   6. call_user_func:{/home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[15-Oct-2017 19:23:17 Asia/Tokyo] PHP   7. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[15-Oct-2017 19:23:17 Asia/Tokyo] PHP   8. call_user_func_array:{/home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[15-Oct-2017 19:23:17 Asia/Tokyo] PHP   9. Illuminate\Foundation\Http\Middleware\CheckForMaintenanceMode->handle() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[15-Oct-2017 19:23:17 Asia/Tokyo] PHP  10. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/CheckForMaintenanceMode.php:44
[15-Oct-2017 19:23:17 Asia/Tokyo] PHP  11. call_user_func_array:{/home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[15-Oct-2017 19:23:17 Asia/Tokyo] PHP  12. Illuminate\Cookie\Middleware\EncryptCookies->handle() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[15-Oct-2017 19:23:17 Asia/Tokyo] PHP  13. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/EncryptCookies.php:59
[15-Oct-2017 19:23:17 Asia/Tokyo] PHP  14. call_user_func_array:{/home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[15-Oct-2017 19:23:17 Asia/Tokyo] PHP  15. Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse->handle() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[15-Oct-2017 19:23:17 Asia/Tokyo] PHP  16. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/AddQueuedCookiesToResponse.php:37
[15-Oct-2017 19:23:17 Asia/Tokyo] PHP  17. call_user_func_array:{/home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[15-Oct-2017 19:23:17 Asia/Tokyo] PHP  18. Illuminate\Session\Middleware\StartSession->handle() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[15-Oct-2017 19:23:17 Asia/Tokyo] PHP  19. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Session/Middleware/StartSession.php:62
[15-Oct-2017 19:23:17 Asia/Tokyo] PHP  20. call_user_func_array:{/home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[15-Oct-2017 19:23:17 Asia/Tokyo] PHP  21. Illuminate\View\Middleware\ShareErrorsFromSession->handle() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[15-Oct-2017 19:23:17 Asia/Tokyo] PHP  22. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/View/Middleware/ShareErrorsFromSession.php:49
[15-Oct-2017 19:23:17 Asia/Tokyo] PHP  23. call_user_func_array:{/home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[15-Oct-2017 19:23:17 Asia/Tokyo] PHP  24. Illuminate\Foundation\Http\Middleware\VerifyCsrfToken->handle() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[15-Oct-2017 19:23:17 Asia/Tokyo] PHP  25. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/VerifyCsrfToken.php:50
[15-Oct-2017 19:23:17 Asia/Tokyo] PHP  26. call_user_func:{/home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[15-Oct-2017 19:23:17 Asia/Tokyo] PHP  27. Illuminate\Foundation\Http\Kernel->Illuminate\Foundation\Http\{closure}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[15-Oct-2017 19:23:17 Asia/Tokyo] PHP  28. Illuminate\Routing\Router->dispatch() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:236
[15-Oct-2017 19:23:17 Asia/Tokyo] PHP  29. Illuminate\Routing\Router->dispatchToRoute() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Routing/Router.php:635
[15-Oct-2017 19:23:17 Asia/Tokyo] PHP  30. Illuminate\Routing\Router->runRouteWithinStack() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Routing/Router.php:675
[15-Oct-2017 19:23:17 Asia/Tokyo] PHP  31. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Routing/Router.php:710
[15-Oct-2017 19:23:17 Asia/Tokyo] PHP  32. call_user_func:{/home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[15-Oct-2017 19:23:17 Asia/Tokyo] PHP  33. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[15-Oct-2017 19:23:17 Asia/Tokyo] PHP  34. call_user_func_array:{/home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[15-Oct-2017 19:23:17 Asia/Tokyo] PHP  35. App\Http\Middleware\Authenticate->handle() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[15-Oct-2017 19:23:17 Asia/Tokyo] PHP  36. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/microposts_7/app/Http/Middleware/Authenticate.php:45
[15-Oct-2017 19:23:17 Asia/Tokyo] PHP  37. call_user_func:{/home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/microposts_7/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
